objectid,title,creator,date,description,subject,extent,medium,source,identifier,format,rights,rightsstatement,display_template,object rename ,object_location,image_small,image_thumb,image_alt_text
ArtLoanProgram_00011,Sunrise Shadows,"Margolies, S.L.",,black and white etching,animals ; deer ; trees,Less than 17 in. x 21 in.,etching,"Art Loan, box 1, item 11",ArtLoan_b1_0011,image/tiff,,,image,/objects/ArtLoan_b1_0011.jpg,,,,
ArtLoanProgram_00012,Willie May,"Brook, Alexander",,lithograph,girl,Less than 17 in. x 21 in.,lithograph,"Art Loan, box 1, item 12",ArtLoan_b1_0012,image/tiff,,,image,/objects/ArtLoan_b1_0012.jpg,,,,
ArtLoanProgram_00013,Woman,"Casteel, Homer",,black and white drawing,portrait,Less than 17 in. x 21 in.,drawing,"Art Loan, box 1, item 13",ArtLoan_b1_0013,image/tiff,,,image,/objects/ArtLoan_b1_0013.jpg,,,,
ArtLoanProgram_00014,Cityscape,"Wolchuiok, Laura",,watercolor,city ; colorful,Less than 17 in. x 21 in.,watercolor,"Art Loan, box 1, item 14",ArtLoan_b1_0014,image/tiff,,,image,/objects/ArtLoan_b1_0014.jpg,,,,
ArtLoanProgram_00015,Still Life,"Millie, S.",1988-09,black and white etching,flowers ; candle ; still life,Less than 17 in. x 21 in.,etching,"Art Loan, box 1, item 15",ArtLoan_b1_0015,image/tiff,,,image,/objects/ArtLoan_b1_0015.jpg,,,,
ArtLoanProgram_00016,"Cape May Point, N.J.",Gustovoy,1969,black and white drawing,ocean ; beach ; landscape,Less than 17 in. x 21 in.,drawing,"Art Loan, box 1, item 16",ArtLoan_b1_0016,image/tiff,,,image,/objects/ArtLoan_b1_0016.jpg,,,,
ArtLoanProgram_00017,Tree,"P., Sam",1971-09,ink drawing,tree,Less than 17 in. x 21 in.,drawing,"Art Loan, box 1, item 17",ArtLoan_b1_0017,image/tiff,,,image,/objects/ArtLoan_b1_0017.jpg,,,,
ArtLoanProgram_00018,"Trinity Church, New York City","Swann, Don",,ink drawing,cityscape ; people,Less than 17 in. x 21 in.,drawing,"Art Loan, box 1, item 18",ArtLoan_b1_0018,image/tiff,,,image,/objects/ArtLoan_b1_0018.jpg,,,,
ArtLoanProgram_00019,New York Stock Exchange,"Swann, Don",,ink drawing,cityscape,Less than 17 in. x 21 in.,drawing,"Art Loan, box 1, item 19",ArtLoan_b1_0019,image/tiff,,,image,/objects/ArtLoan_b1_0019.jpg,,,,
ArtLoanProgram_00020,Three Women,"Meyer, Eleanor",,black and white print,women,Less than 17 in. x 21 in.,print,"Art Loan, box 1, item 20",ArtLoan_b1_0020,image/tiff,,,image,/objects/ArtLoan_b1_0020.jpg,,,,
